sample_id,p_uva_mw_cm2,p_uvb_mw_cm2,uva_uvb_ratio,dry_biomass_g,auc_total_320_480,predicted_total_mg_ml,auc_oxidized_320_480,predicted_oxidized_mg_ml,auc_reduced_320_480,predicted_reduced_mg_ml,predicted_total_mg_per_gDW,predicted_oxidized_mg_per_gDW,predicted_reduced_mg_per_gDW,predicted_total_mg_ml_pct,predicted_oxidized_mg_ml_pct,predicted_reduced_mg_ml_pct,predicted_total_mg_per_gDW_pct,predicted_oxidized_mg_per_gDW_pct,predicted_reduced_mg_per_gDW_pct
1D,3.185,0.707,4.504950495049505,0.06,3042167.0,0.1136753245322129,2799392.0,0.0499708839627223,3745622.0,0.1547867546086958,1.8945887422035488,0.8328480660453716,2.579779243478263,736.0745113839127,-313.16053066860366,136.9113668446146,972.9622896093553,-373.55601435804135,133.64292340677355
1F,3.185,0.707,4.504950495049505,0.094,3880172.0,0.1516043511670099,4371307.0,0.0972309249655724,4572922.0,0.1937643569248731,1.6128122464575525,1.0343715421869404,2.0613229460092883,1015.0399996413844,-514.7574331188898,196.56916550055087,813.383829493475,-439.7481101080267,86.68788052644511
1G,3.185,0.707,4.504950495049505,0.081,2763010.5,0.101040394759984,4116574.0,0.0895723098211282,2347179.5,0.0889002132971513,1.2474122809874568,1.105830985446027,1.097533497495695,643.1454365899118,-482.08811973243525,36.06765706955833,606.446896511398,-463.21957060984585,-0.5996596259087651
1I,3.185,0.707,4.504950495049505,0.074,1692987.5,0.0526099786325797,2002129.0,0.0260009606080528,2066435.5,0.0756731759652851,0.710945657197023,0.351364332541254,1.022610486017366,286.9429215193277,-210.91215767246672,15.822801484084867,302.62979671605734,-215.40859649702617,-7.385213652087416
1J,3.185,0.707,4.504950495049505,0.08,4998317.0,0.2022128218641598,2278817.0,0.0343196586451582,8121247.0,0.3609409563912697,2.5276602733019975,0.4289957330644775,4.511761954890871,1387.2619623595667,-246.39718310015496,452.44400946987884,1331.4896387710837,-240.90728873389918,308.61684406565183
2B,2.488,0.768,3.239583333333333,0.08,4962412.0,0.2005877221316732,2538857.0,0.0421378301508574,8019382.0,0.3561416653723679,2.507346526645915,0.5267228768857175,4.451770817154599,1375.3094610548194,-279.74711519773814,445.0983770994122,1319.9853562652643,-273.0065983778229,303.18362537663603
2E,2.488,0.768,3.239583333333333,0.073,2835542.0,0.1043232501073408,3294387.0,0.0648530398020684,2855622.0,0.1128550900838586,1.429085617908778,0.8883978055077864,1.5459601381350494,667.2906210596303,-376.64326270461015,72.73218057145706,709.3339427615283,-391.8017976473285,40.01300578618902
2G,2.488,0.768,3.239583333333333,0.081,1968644.5,0.0650865171915003,2410886.0,0.0382903481259542,1855176.0,0.0657198473341786,0.8035372492777815,0.4727203472340024,0.8113561399281308,378.7070393904501,-263.33493183956324,0.5885736161365086,355.06718559339106,-255.2690092795848,-26.51789065437491
2I,2.488,0.768,3.239583333333333,0.087,2763805.5,0.1010763773330887,1436237.5,0.0089872827099702,3817018.0,0.1581505221597242,1.1617974406102152,0.1033021001146,1.8178220937899336,643.4100860408869,-138.33700346696148,142.05983558973637,557.9606508637737,-133.93045134432222,64.63473349520375
2J,2.488,0.768,3.239583333333333,0.065,3012137.0,0.1123161337519157,1291396.0,0.0046325846322025,4480672.0,0.1894180692255291,1.7279405192602415,0.0712705328031153,2.9141241419312167,726.0777528772546,-119.76119132301433,189.9168846761703,878.5844149469021,-123.40941125957076,163.92354516856622
3A,1.692,0.584,2.897260273972603,0.043,2154700.5,0.0735076160865711,2475510.5,0.0402333008427287,2203420.5,0.0821271187348748,1.7094794438737466,0.9356581591332256,1.9099329938342977,440.64366612087804,-271.62297478234206,25.700987811757347,868.1293556118053,-407.32486181954266,72.97694340265998
3C,1.692,0.584,2.897260273972603,0.074,3870907.0,0.15118500709177,5244612.0,0.1234870711999388,3043612.0,0.1217120941445599,2.0430406363752702,1.6687442054045785,1.6447580289805392,1011.9557516372487,-626.7581347435626,86.28841116414347,1057.0350388657862,-648.1131942601934,48.96083653640494
3D,1.692,0.584,2.897260273972603,0.069,4032567.0,0.1585019162340559,4923252.0,0.1138252976455952,3680802.0,0.1517328102328532,2.297129220783418,1.6496419948636982,2.1990262352587417,1065.7711355928375,-585.5439593133233,132.23710296346178,1200.9330063862099,-641.8389111177664,99.15925734843711
3E,1.692,0.584,2.897260273972603,0.08,2792897.0,0.102393090572683,1847385.0,0.0213485412438091,3801597.0,0.1574239736219293,1.2799136321585376,0.2668567655476137,1.9677996702741165,653.0944250384374,-191.0663574397776,140.94780499252485,624.8533840994963,-187.65136903578593,78.21775595877784
3H,1.692,0.584,2.897260273972603,0.052,2575044.5,0.0925328471672652,1207080.5,0.002097616782684,3999562.0,0.1667509421249174,1.7794778301397156,0.0403387842823846,3.206748887017642,580.57298539236,-108.94779261599304,155.22334725158734,907.7715360617643,-113.24961598906657,190.4256968840645
4A,1.095,0.338,3.2396449704142007,0.07,2548557.0,0.0913339938275009,1839178.0,0.0211017956141088,3123332.0,0.1254680405444701,1.30477134039287,0.3014542230586971,1.7924005792067157,571.755498181401,-190.01381593568274,92.03713557953247,638.9310479995414,-199.015197529251,62.33238262558329
4B,1.095,0.338,3.2396449704142007,0.071,2969712.0,0.1103959316588718,3256272.0,0.0637071022273118,2956677.0,0.1176162185766198,1.5548722768855183,0.8972831299621381,1.6565664588256312,711.9547931821178,-371.755042961881,80.01940267127054,780.5706911975085,-394.7202578600681,50.0302908615476
4F,1.095,0.338,3.2396449704142007,0.08,3389427.0,0.1293926935087699,4277962.0,0.0944244828059066,3132372.0,0.1258939531818909,1.6174086688596236,1.1803060350738324,1.573674414773636,851.6747231395584,-502.78600790873395,92.68902304459911,815.9869210218252,-487.6815326121564,42.52300528723663
4G,1.095,0.338,3.2396449704142007,0.062,3162562.0,0.1191245344554191,4148967.0,0.0905462139496627,2659002.0,0.1035914902199559,1.9213634589583728,1.4604228056397208,1.6708304874186437,776.1530908181147,-486.2424973298703,58.553628206256924,988.1256127902399,-579.6882628129033,51.322141452428326
4H,1.095,0.338,3.2396449704142007,0.07,2458022.0,0.0872362802978903,1615597.5,0.01437978863699,3335732.0,0.1354751029546672,1.246232575684147,0.205425551957,1.9353586136381025,541.6170855473594,-161.33978696574093,107.35360655078938,605.7787941020955,-167.47376566231503,75.27966606988349
5B,0.647,0.246,2.6300813008130084,0.068,2823437.0,0.1037753645130852,1965050.0,0.0248861706478166,3759797.0,0.155454598816156,1.5261083016630177,0.3659730977620088,2.2860970414140587,663.2609586645895,-206.15680414129352,137.93354658104386,764.2807914290207,-220.20696939528816,107.04500096194258
5D,0.647,0.246,2.6300813008130084,0.072,2886492.0,0.1066293030629233,2732972.0,0.047973949062674,3306467.0,0.1340963050194769,1.4809625425406014,0.6663048480926945,1.862448680826068,684.2514883894413,-304.64221621728257,105.24326510552649,738.7133973053751,-318.85348123237156,68.67643058349073
5E,0.647,0.246,2.6300813008130084,0.079,2641082.0,0.0955217769426191,1962897.0,0.0248214401323121,3268652.0,0.1323146804194693,1.2091364169951784,0.3141954447128113,1.6748693723983457,602.5563666738597,-205.88068352982535,102.51637080336975,584.770129542876,-203.2001598961588,51.68793123709571
5F,0.647,0.246,2.6300813008130084,0.068,3514732.0,0.135064135424359,2157104.0,0.030660325048507,4759927.0,0.2025749534692183,1.986237285652338,0.4508871330662793,2.9790434333708573,893.387804214376,-230.78758347935357,210.05436631966532,1024.8656018309848,-248.09770482220915,169.80309206227767
5I,0.647,0.246,2.6300813008130084,0.058,1875822.5,0.0608852915302034,1536225.0,0.0119934333922733,2304419.0,0.0868855852736521,1.049746405693162,0.2067833343495396,1.4980273323043465,347.8073018578163,-151.1603242468688,32.984135614914145,494.5027972939976,-167.91974081049818,35.67187430771605
6C,0.0,0.0,,0.074,2521082.0,0.0900904451532197,2137344.0,0.0300662354124795,2339640.0,0.0885449955615502,1.2174384480164826,0.4063004785470203,1.1965539940750027,562.6092797341677,-228.25337851762407,35.523972828090436,589.4718181017694,-233.4528398088791,8.368331862691187
6D,0.0,0.0,,0.071,3366627.0,0.128360740468784,4562057.0,0.1029658742607275,2743117.0,0.107554503659851,1.807897753081465,1.450223581137007,1.5148521642232535,844.0847766210169,-539.2209754493546,64.61928242352276,923.8665887298357,-576.3382409802858,37.19564922965897
6F,0.0,0.0,,0.077,831018.5,0.0135963150394397,357580.0,-0.0234428408514384,1847014.0,0.065335300990525,0.1765755199927233,-0.3044524785901091,0.8485104024743506,0.0,-0.0,0.0,0.0,-0.0,-23.152939742289345
6H,0.0,0.0,,0.046,700098.5,0.0076707320572049,255653.0,-0.0265073031151724,1538313.5,0.0507911146931659,0.1667550447218456,-0.5762457198950521,1.104154667242737,-43.58227185120441,13.07206017885828,-22.26083920462586,-5.561628968320415,89.27279638634971,0.0
6J,0.0,0.0,,0.071,450407.0,-0.0036305794552351,87702.0,-0.0315567944340222,1061326.0,0.0283182160049179,-0.0511349219047197,-0.4444618934369324,0.3988481127453225,-126.70267233955413,34.61164811041213,-56.65709719616254,-128.95923619923474,45.98728034509483,-63.8775142126316
